ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	L10pval	L10fdr	signL10pval	signL10fdr
ENSG00000000971	0.690772777508073	0.424071112077964	0.957474442938182	5.9078479637438	5.10266988715351	6.90072754643761E-7	7.16017697821601E-5	5.6478999724702	6.16110511900967	4.14507624309539	6.16110511900967	4.14507624309539
ENSG00000001561	0.504166106185591	0.208264995355465	0.800067217015716	6.02176035060585	3.35671938517308	9.1962153486473E-4	0.00958617446577725	-1.02339183000675	3.0363908673686	2.01835467123044	3.0363908673686	2.01835467123044
ENSG00000002549	1.05786990673664	0.765900535634321	1.34983927783897	6.63921955938634	7.13810537548293	1.16759800825119E-11	5.48736722760169E-9	16.0666161791549	10.9327066545253	8.2606359748168	10.9327066545253	8.2606359748168
ENSG00000002587	0.541043882080904	0.264259751834024	0.817828012327785	5.10436196385434	3.85105118758728	1.51656558747413E-4	0.00286444462437934	0.622924005491543	3.81913880285272	2.542959569141	3.81913880285272	2.542959569141
ENSG00000004468	0.801202268044156	0.456188853046341	1.14621568304197	6.17389897792475	4.57503240496504	7.70647601705273E-6	3.82315419176053E-4	3.38635200278951	5.11314416879896	3.41757818608237	5.11314416879896	3.41757818608237
ENSG00000004766	0.574357100881361	0.358392739018605	0.790321462744117	4.36381806299684	5.23947642600611	3.57626560833806E-7	4.44285168023013E-5	6.26648517801516	6.44657023373745	4.35233818496593	6.44657023373745	4.35233818496593
ENSG00000004838	0.630582405479497	0.262927861408997	0.998236949549997	6.23769005861709	3.37901326901567	8.51378351542057E-4	0.0091634278326669	-0.953514338093421	3.06987739705923	2.03794203612092	3.06987739705923	2.03794203612092
ENSG00000006042	0.575848924892814	0.260402857353261	0.891294992432366	3.69948431725	3.59642848695154	3.93112387548601E-4	0.00551012529880622	-0.250243421449469	3.40548327070742	2.25883852529315	3.40548327070742	2.25883852529315
ENSG00000006210	0.951400248707176	0.546236099453935	1.35656439796042	4.97165781920076	4.62615560874794	6.15300363168797E-6	3.29929010170275E-4	3.5966185341808	5.21091282857822	3.48157949590373	5.21091282857822	3.48157949590373
ENSG00000007171	0.848469902009056	0.371554020438594	1.32538578357952	6.18856647633831	3.50495658249125	5.46645539529899E-4	0.0068562394632247	-0.550926252977338	3.26229419126262	2.16391402251121	3.26229419126262	2.16391402251121
